Nombre,Departamento,Identificación,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre
Carlos Pérez,Antioquia,1523408967,13004141,18044798,18008748,17992340,13586424,16955973,11141086,13903018,10089952
María Gómez,Cundinamarca,1360894527,17693338,16914693,19425319,12386674,16240413,11469399,11689890,16203284,10799401
Juan Rodríguez,Valle del Cauca,1832659407,11338782,10597909,18851471,18129402,16588536,17489990,17018010,17424786,12553332
Laura Martínez,Atlántico,1654382907,15922146,14998345,12911064,10587859,13785398,18934934,10150635,10129953,16922024
Pedro Sánchez,Santander,1435026789,17720093,18973298,11823570,13047828,14601786,15195722,19147294,18413399,18266996
Ana Torres,Bolívar,1302956748,19484783,16373489,11769609,18442316,17717419,18582213,19028614,14247635,11622404
Luis Herrera,Nariño,1928574306,10172533,15482756,12526365,14890121,10252449,19272658,15308605,15080678,15563191
Isabel Ramírez,Caldas,1295470683,19383651,12460437,16023278,11650073,16562715,12091553,19858682,11071749,16329256
Diego Ruiz,Risaralda,1063529847,10875614,16132043,17524909,15635186,11499766,15246187,16896324,11479264,16762528
Sandra López,Meta,1259830476,11733637,14662725,17674126,13027692,18144573,13662569,17086896,13755616,18342569
,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
